pl_name,pl_angsep,completeness,scenario_IWA,scenario_OWA,pl_radj_forecastermod,pl_bmassj,pl_orbsmax,scenario_name,orbitfit_id,sy_vmag
"47 UMa c",260.93196199077164,0.512249,"0.155 arcsec","0.436 arcsec",0.8693284480515352,0.54,3.6,Optimistic_NF_Imager_10000hr,80,5.03352
"HD 190360 b",246.3395838325676,0.475545,"0.155 arcsec","0.436 arcsec",1.0000000000000002,1.45,3.9431330844514014,Optimistic_NF_Imager_10000hr,2509,5.738
"55 Cnc d",434.62715029135944,0.438336,"0.155 arcsec","0.436 arcsec",1.0000000000000002,3.53,5.47,Optimistic_NF_Imager_10000hr,103,5.95084
"HD 160691 c",355.3637943079295,0.43196,"0.155 arcsec","0.436 arcsec",1.0000000000000002,2.423,5.543,Optimistic_NF_Imager_10000hr,2231,5.12
"HD 219134 h",461.62538066792,0.381164,"0.155 arcsec","0.436 arcsec",0.6801247802419191,0.24,3.015,Optimistic_NF_Imager_10000hr,2867,5.56911
"HD 154345 b",226.68664138163342,0.367521,"0.155 arcsec","0.436 arcsec",1.0000000000000002,1.15,4.144738551023454,Optimistic_NF_Imager_10000hr,2122,6.76
"14 Her b",154.46986722280366,0.270857,"0.155 arcsec","0.436 arcsec",1.0000000000000002,4.64,2.77,Optimistic_NF_Imager_10000hr,12,6.61935
"ups And d",187.48340221099764,0.185012,"0.155 arcsec","0.436 arcsec",1.0000000000000002,4.132,2.51329,Optimistic_NF_Imager_10000hr,18416,4.09565
"HD 217107 c",302.3045457631162,0.166918,"0.155 arcsec","0.436 arcsec",1.0000000000000002,4.48,6.064803566649405,Optimistic_NF_Imager_10000hr,2824,6.155
"HD 100546 b",483.2371417881873,0.157319,"0.155 arcsec","0.436 arcsec",6.9,,53,Optimistic_NF_Imager_10000hr,1461,6.69
"HD 39091 b",181.05986798169423,0.146369,"0.155 arcsec","0.436 arcsec",1.0000000000000002,12.9,3.308,Optimistic_NF_Imager_10000hr,3269,5.65
"tau Cet f",370.2429059900992,0.137969,"0.155 arcsec","0.436 arcsec",0.1526932834034715,0.01237,1.334,Optimistic_NF_Imager_10000hr,18392,3.49607
"psi 1 Dra B b",194.99269327599515,0.133912,"0.155 arcsec","0.436 arcsec",1.0000000000000002,1.53,4.43,Optimistic_NF_Imager_10000hr,18372,5.808
"47 UMa b",152.21031116133705,0.052765,"0.155 arcsec","0.436 arcsec",1.0000000000000002,2.53,2.1,Optimistic_NF_Imager_10000hr,76,5.03352
"HD 145675 c",914.5508384252172,0.03914,"0.155 arcsec","0.436 arcsec",1.0000000000000002,5.8,16.4,Optimistic_NF_Imager_10000hr,2018,6.61935
"bet Pic b",455.83006655044755,0.036357,"0.155 arcsec","0.436 arcsec",1.0000000000000002,9.9,9,Optimistic_NF_Imager_10000hr,18290,3.85
"47 UMa d",840.7807664105004,0.036257,"0.155 arcsec","0.436 arcsec",1.0000000000000002,1.64,11.6,Optimistic_NF_Imager_10000hr,84,5.03352
"eps Eri b",1088.0062837433597,0.036099,"0.155 arcsec","0.436 arcsec",0.9450993273217878,0.78,3.4844489243488006,Optimistic_NF_Imager_10000hr,18303,3.71548
"HD 114613 b",263.266875702395,0.035358,"0.155 arcsec","0.436 arcsec",0.7912970058572505,0.357,5.34,Optimistic_NF_Imager_10000hr,1709,4.85
"tau Cet e",149.3183533904442,0.016163,"0.155 arcsec","0.436 arcsec",0.1526932834034715,0.01237,0.538,Optimistic_NF_Imager_10000hr,18388,3.49607
"HD 192310 c",134.13861975905445,0.007744,"0.155 arcsec","0.436 arcsec",0.38107447808931755,0.076,1.18,Optimistic_NF_Imager_10000hr,2553,5.73
"HD 142 c",259.68768736643864,0.000921,"0.155 arcsec","0.436 arcsec",1.0000000000000002,5.3,6.8,Optimistic_NF_Imager_10000hr,1986,5.7
"HD 134987 c",221.53977784899274,0.0008,"0.155 arcsec","0.436 arcsec",0.9559019856925017,0.82,5.8,Optimistic_NF_Imager_10000hr,1894,6.47

